"start_date","end_date","id","title","url","reasons","status","risk_level","establishment_id","establishment_slug","establishment_name","establishment_address","establishment_telephone","establishment_grant_date","establishment_activities","quantity_recovered","quantity_unit","states"
"2010-01-09","2012-06-03","001-2010","California Firm Recalls Pork Skin Products Due to Mislabeling and an Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-pork-skin-products-due-mislabeling-and-undeclared-allergen","Misbranding, Unreported Allergens","Closed","High","M525+P2854","rudolph-foods-company-inc","Rudolph Foods Company Inc.","920 West 4th Street   Beaumont, CA 92223","(909) 388-2202","2016-08-01","Meat Processing, Poultry Processing","117","pounds","California"
"2010-01-11","2013-06-03","002-2010","Massachusetts Firm Recalls Beef Products Due to Possible E. coli O157:H7 Contamination","https://www.fsis.usda.gov/recalls-alerts/massachusetts-firm-recalls-beef-products-due-possible-e.-coli-o157h7-contamination","Product Contamination","Closed","High","M5497+V5497","adams-farm-slaughterhouse-llc","Adams Farm Slaughterhouse LLC","854 Bearsden Rd   Athol, MA 1331","(978) 249-9441","2022-02-17","Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat","1391","pounds","Massachusetts"
"2010-01-15","2013-06-03","003-2010","New York Firm Recalls Beef Carcass That Contains Prohibited Materials","https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-beef-carcass-contains-prohibited-materials","Product Contamination","Closed","Low","","","","","","","","218","pounds","New York"
"2010-01-18","2013-06-03","004-2010","California Firm Recalls Beef Products Due to Possible E. coli O157:H7 Contamination","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-beef-products-due-possible-e.-coli-o157h7-contamination-0","Product Contamination","Closed","High","","","","","","","","277604","pounds","California"
"2010-01-20","2013-06-03","005-2010","Indiana Firm Recalls Frozen Chicken Pot Pie Products That May Contain Foreign Materials","https://www.fsis.usda.gov/recalls-alerts/indiana-firm-recalls-frozen-chicken-pot-pie-products-may-contain-foreign-materials","Product Contamination","Closed","High","","","","","","","","4800","pounds","Delaware, Florida, Illinois, Indiana, Iowa, Kentucky, Maryland, Michigan, Missouri, New Jersey, Ohio, Pennsylvania, Virginia, West Virginia, Wisconsin"
"2010-01-23","2013-06-03","006-2010","Rhode Island Firm Recalls Italian Sausage Products Due To Possible Salmonella Contamination","https://www.fsis.usda.gov/recalls-alerts/rhode-island-firm-recalls-italian-sausage-products-due-possible-salmonella","Product Contamination","Closed","High","M9992+P9992","daniele-international-0","Daniele International","105 Davis Drive   Pascoag, RI 2859","(401) 568-6228","2020-06-26","Meat Processing, Poultry Processing","234686","pounds",""
"2010-01-27","2012-06-03","007-2010","New Jersey Firm Recalls Instant Noodle Products Imported from an Unapproved Source","https://www.fsis.usda.gov/recalls-alerts/new-jersey-firm-recalls-instant-noodle-products-imported-unapproved-source","Import Violation","Closed","Low","","","","","","","","35651","pounds",""
"2010-01-31","2013-06-03","006-2010-EXP1","Rhode Island Firm Recalls Italian Sausage Products Due to Possible Salmonella Contamination","https://www.fsis.usda.gov/recalls-alerts/rhode-island-firm-recalls-italian-sausage-products-due-possible-salmonella-0","Product Contamination","Closed","High","M54+P54","daniele-international","Daniele International","1000 Daniele Drive   Mapleville, RI 2839","(401) 568-6228","2020-07-17","Meat Processing, Poultry Processing","234686","pounds",""
"2010-02-02","2012-06-03","008-2010","Missouri Firm Recalls Fresh Boneless Beef Products Due to Possible E. coli O157:H7 Contamination","https://www.fsis.usda.gov/recalls-alerts/missouri-firm-recalls-fresh-boneless-beef-products-due-possible-e.-coli-o157h7","Product Contamination","Closed","High","","","","","","","","11557","pounds","Illinois"
"2010-02-05","2012-06-03","009-2010","North Carolina Firm Recalls Pork Barbecue Products Due to an Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/north-carolina-firm-recalls-pork-barbecue-products-due-undeclared-allergen","Unreported Allergens","Closed","Low","","","","","","","","350","pounds","North Carolina"
"2010-02-10","2012-06-03","010-2010","California Firm Recalls Frozen Cured Pork Patty Mix Due to Mislabeling and an Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-frozen-cured-pork-patty-mix-due-mislabeling-and-undeclared","Misbranding, Unreported Allergens","Closed","Low","M21436+P21436","champ-meatball-company-inc","Champ Meatball Company Inc.","12403 Slauson Ave. #D   Whittier, CA 90606","(562) 693-7836","2015-08-17","Meat Processing, Poultry Processing","624","pounds","Arizona, California"
"2010-02-10","2012-06-03","011-2010","New Jersey Firm Recalls Ready-To-Eat Sausage Products That May Contain Foreign Materials","https://www.fsis.usda.gov/recalls-alerts/new-jersey-firm-recalls-ready-eat-sausage-products-may-contain-foreign-materials","Product Contamination","Closed","Low","M5411+P5411","schmalz-european-provision-inc","Schmalz European Provision Inc.","66 Fadem Road   Springfield, NJ 7081","(973) 379-4662","2007-08-20","Meat Processing, Poultry Processing","438","pounds","California, Connecticut, Florida, Georgia, Indiana, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oregon, Texas"
"2010-02-12","2012-06-03","012-2010","California Firm Recalls Frozen Turkey Patty Products Due To Mislabeling And An Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-frozen-turkey-patty-products-due-mislabeling-and-undeclared","Unreported Allergens, Mislabeling","Closed","Low","M2896+P2896","daniel-western-meat-packers-inc","Daniel Western Meat Packers Inc.","5220 Van Norman Rd.   Pico Rivera, CA 90660","(562) 948-4408","2007-03-26","Meat Processing, Poultry Processing","1040","pounds","California, Illinois"
"2010-02-12","2013-06-03","004-2010-EXP","California Firm Recalls Beef Products Due To Possible E. coli O157:H7 Contamination","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-beef-products-due-possible-e.-coli-o157h7-contamination-1","Product Contamination","Closed","High","","","","","","","","277604","pounds","California"
